iter	Passed	Remaining
0	135	135493
1	137	68478
2	138	46050
3	140	34988
4	142	28294
5	144	23941
6	145	20696
7	147	18273
8	148	16392
9	150	14884
10	152	13679
11	153	12653
12	155	11809
13	157	11073
14	159	10444
15	161	9934
16	163	9431
17	164	8976
18	166	8592
19	167	8228
20	169	7899
21	170	7599
22	172	7332
23	174	7091
24	175	6860
25	177	6649
26	179	6454
27	180	6282
28	182	6121
29	184	5967
30	186	5827
31	188	5693
32	190	5567
33	191	5443
34	193	5326
35	194	5211
36	196	5113
37	198	5024
38	200	4929
39	201	4838
40	203	4755
41	204	4674
42	206	4593
43	207	4516
44	209	4452
45	211	4379
46	212	4305
47	213	4240
48	215	4183
49	216	4121
50	218	4063
51	219	4006
52	221	3953
53	222	3899
54	224	3851
55	225	3798
56	226	3749
57	228	3704
58	229	3661
59	230	3618
60	232	3577
61	234	3542
62	235	3503
63	236	3465
64	238	3429
65	240	3399
66	241	3368
67	243	3333
68	244	3300
69	246	3270
70	247	3238
71	248	3207
72	250	3178
73	251	3148
74	253	3123
75	254	3095
76	256	3070
77	257	3046
78	259	3024
79	260	2999
80	262	2973
81	263	2951
82	264	2923
83	266	2901
84	267	2877
85	268	2854
86	270	2833
87	271	2814
88	272	2792
89	274	2771
90	275	2752
91	277	2736
92	278	2719
93	280	2702
94	281	2686
95	283	2673
96	285	2656
97	287	2642
98	288	2627
99	290	2614
100	292	2599
101	293	2584
102	294	2567
103	296	2554
104	297	2539
105	299	2522
106	300	2506
107	301	2490
108	303	2477
109	304	2462
110	305	2447
111	307	2435
112	308	2424
113	310	2411
114	311	2397
115	312	2384
116	313	2368
117	315	2357
118	316	2345
119	318	2332
120	319	2321
121	320	2308
122	322	2297
123	323	2285
124	324	2273
125	326	2265
126	327	2253
127	329	2241
128	330	2231
129	331	2221
130	333	2211
131	334	2201
132	336	2190
133	337	2180
134	339	2172
135	340	2161
136	341	2152
137	342	2141
138	344	2132
139	345	2124
140	347	2115
141	348	2103
142	349	2095
143	350	2085
144	352	2078
145	353	2069
146	355	2060
147	356	2052
148	357	2044
149	359	2037
150	360	2029
151	362	2020
152	363	2012
153	365	2005
154	366	1996
155	367	1988
156	368	1980
157	370	1974
158	371	1967
159	373	1958
160	373	1948
161	375	1940
162	376	1933
163	378	1926
164	379	1919
